from_region,to_region,mobility_rate
AUS,USA,0.000164
ITA,NRU,0.00062
SVN,TON,0.000435
ALB,TTO,0.001466
RWA,PHL,0.001434
LBY,NLD,0.001794
ITA,NZL,0.000273
CHN,NGA,0.000523
EGY,CYP,0.000415
VUT,MCO,0.001678
BWA,HTI,0.00011
SAU,HND,0.001195
SLB,BLR,0.000308
KIR,BLZ,0.000698
PNG,BHS,0.0016
KHM,LVA,0.000291
THA,LCA,0.00076
LTU,EGY,0.000755
NIC,MHL,0.001018
SLB,TTO,0.000997
SDN,ROU,0.000523
UZB,ARG,0.000105
CAN,KWT,0.001135
FSM,TZA,0.001618
TUV,SLE,0.000131
TJK,WSM,0.001928
TUV,GTM,0.001278
SLV,SVN,0.000942
POL,BRA,0.000189
TJK,SLB,0.001122
MMR,CAN,0.000823
UKR,HTI,0.000157
BLR,GRD,0.00084
NRU,VAT,0.000963
LSO,BRA,0.000436
NIC,KGZ,0.001879
NZL,MMR,0.001612
MEX,PNG,0.001953
TTO,PRT,0.001702
SUR,MHL,0.001099
PRY,ETH,0.000272
PRY,TUV,0.000246
SGP,DJI,0.001045
PER,CYP,0.001174
FSM,TUN,0.001632
LBY,WSM,0.00137
PRT,PRY,0.000265
SYC,FIN,0.000951
ZMB,LAO,0.000406
CMR,SGP,0.001367
VNM,PRT,0.001392
TUR,TZA,0.000881
UZB,COD,0.000615
LUX,VUT,0.001051
KEN,KIR,0.000593
BOL,NLD,0.00194
CZE,SLB,0.00186
DOM,BTN,0.001285
THA,LUX,0.000132
OMN,KIR,0.00152
FSM,ITA,0.000686
CHL,VUT,0.000709
MMR,NZL,0.001679
BRB,COM,0.000315
MHL,ECU,0.001434
MCO,SLV,0.000591
EGY,YEM,0.001971
GHA,THA,0.001686
BFA,TON,0.001035
HND,EST,0.001778
GRC,SEN,0.000617
COD,PNG,0.001941
COL,NGA,0.00197
BRN,SLB,0.001229
RWA,DOM,0.000818
CAN,JOR,0.001138
MHL,BHS,0.000587
WSM,COL,0.000722
GMB,TON,0.001293
FJI,TGO,0.001037
LTU,WSM,0.001026
MDA,PLW,0.001613
ZWE,IDN,0.001405
BGD,SWZ,0.001165
GNB,BHS,0.001535
MMR,ALB,0.001056
LKA,SVN,0.000918
SWE,VUT,0.000641
VEN,IDN,0.000823
BWA,KHM,0.00147
GRC,FJI,0.001971
DOM,AUT,0.001156
BHS,ROU,0.001673
COM,ALB,0.001537
MDV,WSM,0.00182
AZE,LVA,0.000204
EST,TCD,0.00059
LBY,PAN,0.000532
ARE,HND,0.00124
CHL,BIH,0.000546
MHL,MLT,0.000237
IRN,BRA,0.001046
ISR,GRD,0.001256
MNG,SDN,0.001523
UKR,FJI,0.001294
CRI,KOR,0.001416
SGP,CMR,0.001464
BRN,BFA,0.000267
BLR,HND,0.001934
VCT,MNE,0.000979
MRT,LAO,0.001097
MNG,ITA,0.001242
FJI,MDA,0.000301
KIR,LBR,0.000939
MWI,ESP,0.000439
PRY,WSM,0.001234
LSO,TON,0.001183
DJI,VUT,0.000289
CIV,KNA,0.000921
MKD,UGA,0.001794
MKD,FJI,0.001592
VUT,BOL,0.000381
SOM,NPL,0.000712
OMN,GTM,0.001858
TWN,MLI,0.001272
CHE,SLV,0.000627
ZAF,PNG,0.001565
MEX,VUT,0.001375
TON,STP,0.001473
MHL,KOR,0.000998
KNA,AGO,0.001655
AUS,IRQ,0.001863
LCA,FJI,0.000754
HTI,SWE,0.00041
STP,FJI,0.000353
NPL,NIC,0.000274
TON,SVN,0.001646
PNG,MUS,0.001156
GMB,SAU,0.000695
CHL,CMR,0.000393
MCO,VUT,0.000123
VUT,GBR,0.001562
NIC,AUS,0.001053
WSM,TTO,0.000791
OMN,WSM,0.001271
SWZ,NPL,0.00053
URY,RUS,0.000691
ISL,KHM,0.00199
SWZ,ISL,0.00041
GHA,IND,0.000139
PER,HUN,0.001177
SYR,SSD,0.00133
TON,KGZ,0.001679
GMB,VNM,0.000461
MRT,MCO,0.001407
EST,GUY,0.001453
ZWE,LUX,0.000794
MNE,CRI,0.001738
TON,SUR,0.001225
MLT,CAN,0.001163
POL,LKA,0.000506
LBR,CHN,0.000855
DEU,TUR,0.000805
FSM,NLD,0.001573
GTM,LBR,0.000265
SMR,TKM,0.001048
BHR,MAR,0.000771
BRA,SVN,0.00193
BGD,MHL,0.000614
ETH,ARE,0.00029
URY,LBR,0.000507
PRK,DOM,0.001204
DEU,WSM,0.000854
MNG,SOM,0.001997
MHL,MNE,0.001709
THA,TUN,0.000937
DEU,LBY,0.001028
PAN,IRQ,0.000418
NLD,SEN,0.001218
LBR,CUB,0.001242
DNK,GNQ,0.000856
KGZ,MDA,0.001117
ECU,MKD,0.001107
LBN,GNB,0.000799
BTN,DMA,0.00056
GIN,CHL,0.000156
HND,SEN,0.000267
ITA,GUY,0.001454
LVA,DJI,0.001076
CAN,MDA,0.00061
SMR,IDN,0.000295
MEX,THA,0.001385
NZL,BRA,0.001388
MYS,VAT,0.000432
KHM,GNB,0.001073
VUT,UZB,0.001768
ZWE,GRD,0.001864
WSM,BLZ,0.001027
IND,NRU,0.001283
CIV,ARE,0.001278
KOR,SYC,0.00043
GRD,PLW,0.000866
FJI,TCD,0.001477
FSM,HUN,0.000249
SGP,NRU,0.001049
PNG,BGD,0.000433
GBR,TGO,0.001173
GNB,PNG,0.000857
SLV,SLB,0.000756
SEN,TUR,0.000203
MDV,VUT,0.001457
CHN,MRT,0.00012
NER,BGD,0.001701
ISR,CPV,0.001015
COD,HRV,0.000547
VUT,SYC,0.001884
LBN,ISL,0.001237
TUV,MOZ,0.00063
BTN,TUV,0.001654
YEM,ARG,0.000508
SLB,CHL,0.000122
WSM,ARM,0.000908
BOL,MUS,0.000189
AGO,TTO,0.001397
TON,BRN,0.001359
AFG,NIC,0.000672
MDA,MEX,0.001961
TWN,SLB,0.001454
VUT,NIC,0.001472
SWE,NZL,0.000734
WSM,MDG,0.001535
LBR,PLW,0.000919
PLW,MOZ,0.000953
SLB,KNA,0.000554
SLV,IRQ,0.001771
SLE,POL,0.000976
SUR,AGO,0.001176
NIC,UZB,0.000937
UGA,VCT,0.001141
FJI,UKR,0.000738
POL,CHL,0.001115
MHL,CRI,0.001116
LAO,SVN,0.001916
MMR,VCT,0.001923
LSO,VUT,0.001711
TON,IRL,0.000147
BEN,BLZ,0.001879
GNQ,CUB,0.001113
TGO,ROU,0.000206
NRU,LCA,0.001959
SDN,ISR,0.000246
PNG,BRA,0.000185
PER,VNM,0.001645
SVN,GIN,0.00191
BRA,ZWE,0.001686
USA,ZMB,0.001046
SMR,QAT,0.000796
LUX,SLE,0.000786
OMN,SOM,0.000956
SOM,MNE,0.001464
LBN,SUR,0.001842
MAR,KHM,0.001691
DNK,CPV,0.000947
KOR,ALB,0.00167
MRT,TUV,0.000439
MCO,VNM,0.001631
VNM,TZA,0.000397
DNK,ARE,0.001215
ISL,CIV,0.001234
CAN,NZL,0.001747
PAN,LTU,0.001345
TUV,BWA,0.001268
VCT,KIR,0.000941
FJI,NPL,0.00186
TKM,MHL,0.001606
FJI,KHM,0.001915
CZE,LBN,0.001286
COD,NZL,0.000822
BEL,DOM,0.001032
IND,CRI,0.000501
GAB,IRQ,0.001991
BHS,SLB,0.001043
PLW,CHE,0.000323
COM,NRU,0.0018
MWI,NZL,0.001307
THA,BHS,0.001921
HRV,IND,0.000231
HTI,RWA,0.000592
GRC,JAM,0.000688
LAO,ROU,0.001986
IND,HTI,0.001302
BTN,NZL,0.000627
KIR,JAM,0.00129
JOR,ESP,0.000317
LCA,SOM,0.001042
SGP,SVN,0.000516
FIN,IRQ,0.000953
TTO,KAZ,0.000184
ARE,TUV,0.001838
DJI,NZL,0.000572
IRN,MHL,0.001162
NAM,PRK,0.000227
JPN,GRC,0.001747
CHL,POL,0.001474
ITA,TUV,0.000272
AGO,SLV,0.001318
GIN,DEU,0.001085
PNG,PAN,0.000818
BGR,BLZ,0.00069
BLR,TUV,0.000329
NER,SLB,0.001345
LUX,BHR,0.00175
KWT,NZL,0.000193
CHE,BTN,0.001965
TCD,MHL,0.000595
MCO,COD,0.000794
SLB,ARE,0.001451
MDV,VAT,0.00069
TUN,ECU,0.00199
TTO,TZA,0.001541
BGR,CIV,0.000869
BHS,NLD,0.001361
MRT,TON,0.000331
SDN,PRK,0.000294
MNG,BLR,0.001631
SLB,KEN,0.000344
MMR,CUB,0.000537
NOR,TZA,0.001824
ZMB,MHL,0.000277
BLZ,BFA,0.001494
PNG,LKA,0.001385
VUT,TZA,0.00189
SLE,GUY,0.000726
SYR,BDI,0.000734
NER,ALB,0.000152
LBR,HRV,0.001746
GUY,JPN,0.001713
ARM,BEN,0.001185
YEM,HTI,0.001465
NPL,SVN,0.000293
DMA,VUT,0.001443
BFA,MNG,0.000528
AUS,BRN,0.000609
MDA,MAR,0.000147
UGA,DOM,0.00024
TUV,TTO,0.001702
PER,KEN,0.001249
NIC,DNK,0.000621
WSM,AND,0.000197
SSD,ROU,0.001337
YEM,FSM,0.000788
CMR,ROU,0.001469
CAF,KIR,0.000237
GRC,PNG,0.000727
MWI,NIC,0.000749
IRL,USA,0.000181
SEN,LBN,0.001161
WSM,DEU,0.001432
RWA,LKA,0.001426
COL,SLB,0.001704
PRY,SRB,0.000838
NZL,GIN,0.00157
CAN,FSM,0.00198
FSM,PRT,0.000171
BGR,SAU,0.000755
WSM,BHS,0.000796
MCO,JAM,0.001677
NAM,NLD,0.001627
ITA,ZAF,0.000434
VUT,GHA,0.000165
CAF,BRA,0.000906
ZAF,ISR,0.001213
WSM,BOL,0.000674
IRN,AUS,0.000653
SAU,CIV,0.001738
PLW,UZB,0.000984
CRI,RWA,0.001291
SVN,KHM,0.0011
CRI,KWT,0.000955
LCA,VUT,0.001682
ZMB,IRL,0.000822
QAT,GIN,0.000979
URY,BHR,0.001074
VEN,STP,0.000471
KOR,PNG,0.001643
WSM,TKM,0.000423
SWE,SLB,0.001227
SLB,VAT,0.000132
SDN,ALB,0.000957
THA,ZWE,0.000123
CAF,VAT,0.000327
WSM,KAZ,0.001231
AUS,GRD,0.000589
ZWE,KHM,0.001685
ZWE,PLW,0.000131
PNG,UKR,0.001319
SLB,CYP,0.000699
ARE,JAM,0.001167
CHE,SYR,0.000951
PNG,COL,0.001087
MUS,BRN,0.000334
GUY,CMR,0.001603
PAN,MHL,0.001159
MLI,COL,0.001806
NIC,KIR,0.001669
VEN,TUV,0.001098
JPN,TON,0.001085
CHN,VUT,0.001305
BFA,MCO,0.001759
EST,VCT,0.001177
FRA,AUS,0.000355
NZL,LTU,0.001322
FSM,SVN,0.001863
BRB,NRU,0.001888
SMR,GUY,0.000823
GTM,ARM,0.000875
AUS,IRN,0.00055
CUB,AZE,0.000489
BFA,ARG,0.000128
IRQ,BEL,0.001864
HUN,HND,0.00079
ITA,NPL,0.000965
CRI,KAZ,0.001904
BHR,TUV,0.000667
MLI,PAN,0.001018
TUV,NIC,0.001111
GIN,TUR,0.000892
SYR,FJI,0.000831
GRD,TWN,0.000412
SOM,SLB,0.00033
VAT,CYP,0.00122
BHS,SAU,0.000478
DZA,SLV,0.000971
ZWE,KIR,0.000944
FSM,PAN,0.000893
SOM,ARE,0.000856
TJK,NRU,0.001543
IND,HND,0.001845
BIH,OMN,0.001705
WSM,COD,0.001243
MHL,TUN,0.001202
JAM,TON,0.00026
RWA,SVN,0.000781
COM,MHL,0.000913
GRD,QAT,0.001521
PRY,CHN,0.001784
FJI,JAM,0.00029
MHL,ISR,0.0003
CHN,UKR,0.001547
IDN,TUV,0.00119
UGA,MHL,0.000145
GEO,MHL,0.001488
VNM,ALB,0.000851
SRB,OMN,0.001269
NZL,SSD,0.001585
MOZ,GUY,0.001397
ALB,ARM,0.001218
KNA,NRU,0.001682
USA,FSM,0.001458
LBN,ECU,0.000778
CYP,AUS,0.000252
EGY,WSM,0.000328
CIV,VAT,0.000433
KAZ,FJI,0.001007
SMR,SSD,0.001743
MEX,TKM,0.001182
ITA,LBR,0.000272
MKD,DOM,0.000853
ARM,PNG,0.00177
MWI,CUB,0.000688
NZL,CMR,0.000908
MNE,PAK,0.000142
LKA,WSM,0.001518
BHS,NZL,0.001322
BRB,SLB,0.00134
RUS,COD,0.001947
BLR,FJI,0.000983
PLW,IRN,0.001842
LUX,NGA,0.000615
ALB,RWA,0.000277
URY,LUX,0.001422
SGP,NZL,0.000823
SEN,TWN,0.001611
CAN,COD,0.001028
COM,SLB,0.000388
ALB,PLW,0.001375
SVK,TUR,0.000815
CHL,ROU,0.001207
DOM,MLT,0.000212
JOR,TON,0.001123
CIV,NZL,0.001912
GHA,LCA,0.000113
HRV,GTM,0.001168
ERI,BLZ,0.001444
WSM,ESP,0.000592
ISR,PER,0.001347
TKM,PRY,0.001704
PER,ALB,0.001729
FSM,TCD,0.000316
SDN,NZL,0.0018
VUT,SAU,0.000731
GAB,NRU,0.000982
MRT,URY,0.000648
PHL,SSD,0.000176
ERI,AUS,0.001924
SLV,CZE,0.001751
USA,NRU,0.000158
CAN,MOZ,0.001909
FJI,CAN,0.000393
BOL,NPL,0.001082
RWA,DMA,0.000646
THA,PLW,0.0012
SMR,SLB,0.000796
QAT,AUS,0.000351
CYP,MNE,0.000416
SWZ,RUS,0.000977
NZL,KOR,0.001027
AUT,AGO,0.000136
NPL,LVA,0.000272
SVK,BEN,0.000856
GMB,ARG,0.001114
IDN,AUS,0.000905
TUR,AUT,0.001308
COM,PRY,0.000385
VUT,CUB,0.000245
AFG,AUS,0.000989
BLR,KAZ,0.000766
DZA,KAZ,0.001897
WSM,MRT,0.000583
BHS,EST,0.000285
COL,WSM,0.00125
MHL,KWT,0.000384
HTI,AZE,0.001366
ALB,SLV,0.001942
MYS,PAN,0.000269
WSM,NIC,0.000607
VEN,WSM,0.001647
SLV,PNG,0.000715
BRA,FSM,0.001126
BRA,TUV,0.001881
BGR,VUT,0.001638
GIN,IRL,0.000164
DMA,GMB,0.001326
LAO,PLW,0.000664
POL,TON,0.000218
ARG,SWE,0.000556
CMR,TUV,0.000322
NRU,SGP,0.000384
SEN,BTN,0.001686
ALB,CYP,0.001823
SUR,BIH,0.001777
MLI,URY,0.00149
SYR,WSM,0.001247
GBR,CHN,0.001101
MNE,HTI,0.000719
IND,FSM,0.00063
EGY,NRU,0.001966
NER,FJI,0.000786
FJI,CUB,0.001881
NPL,ESP,0.000276
AUT,TUV,0.001375
SOM,PHL,0.001857
VAT,CHL,0.000165
UKR,THA,0.000632
PRT,WSM,0.001172
FJI,PAK,0.001052
TON,URY,0.001177
NZL,SLV,0.000888
CMR,SUR,0.000691
VCT,VUT,0.001959
PNG,CAN,0.00079
SVK,ISR,0.000224
MDA,SLV,0.00113
TON,CUB,0.001714
TUV,PRK,0.001934
BFA,EST,0.000231
FJI,FRA,0.001323
IRN,NZL,0.000576
ECU,AUS,0.000784
FJI,LKA,0.000836
PRT,MLI,0.000643
GNQ,AUT,0.001965
TJK,RWA,0.001211
ZMB,OMN,0.001187
TGO,KHM,0.0001
GNQ,IRN,0.000139
VUT,NLD,0.000913
TZA,BEL,0.001362
WSM,CUB,0.001027
MCO,BRN,0.001224
MCO,ECU,0.000164
VUT,HND,0.000188
GRD,ESP,0.000841
NOR,NZL,0.001076
AUS,SUR,0.000304
TON,UGA,0.00076
FJI,VAT,0.001556
KIR,NIC,0.000963
STP,FSM,0.000452
ARM,HND,0.001807
FJI,ISL,0.000158
GTM,BEN,0.000248
TUV,DZA,0.001078
TWN,JAM,0.000496
TUR,TGO,0.000268
FJI,LSO,0.000142
MKD,AZE,0.000114
CAN,HUN,0.001475
BRA,CAF,0.001379
ZAF,MKD,0.001627
FJI,CRI,0.000244
BIH,PNG,0.000932
MHL,ZMB,0.001502
CRI,UZB,0.00164
SLV,KIR,0.001857
CAN,ESP,0.00022
COM,PRK,0.001157
NZL,GUY,0.00036
PNG,TJK,0.000701
GTM,VUT,0.001167
MHL,JPN,0.001608
RWA,AUS,0.001288
NZL,BEL,0.001889
NZL,TJK,0.00057
SSD,PER,0.001645
GRC,KIR,0.000483
THA,TUV,0.001065
CZE,VUT,0.000684
MEX,TUV,0.001018
BEN,SLB,0.000601
LUX,SLV,0.001408
BDI,SUR,0.000873
DOM,BRN,0.001794
PAN,SMR,0.000892
DZA,PRY,0.000547
JOR,ETH,0.001025
KOR,EGY,0.001762
UZB,FSM,0.000754
MHL,GIN,0.000979
MNE,HND,0.000799
SVN,VUT,0.001345
LTU,CHL,0.001946
OMN,BLR,0.00011
VUT,KAZ,0.000883
BRA,TUR,0.000176
VUT,LBN,0.000657
AGO,FRA,0.000301
EST,MNG,0.000121
VNM,CAN,0.00138
MMR,SVK,0.00155
SYC,GUY,0.001898
SSD,BGR,0.000348
ARE,LBR,0.00101
CUB,IRL,0.00052
BDI,TUV,0.000418
DMA,SOM,0.001276
BDI,HRV,0.001072
ARE,BEL,0.00076
ROU,WSM,0.000363
BEL,AUS,0.001655
EST,SLB,0.000493
FSM,DEU,0.00159
TCD,NLD,0.001715
CHE,HND,0.000577
LUX,YEM,0.000399
VAT,VEN,0.001295
QAT,MOZ,0.001839
LCA,UZB,0.001949
BLR,GEO,0.001939
LCA,AND,0.000642
FJI,DOM,0.001995
DZA,NZL,0.000763
TCD,ESP,0.001685
VUT,HTI,0.000225
WSM,DNK,0.001167
BWA,DOM,0.001464
HTI,TON,0.000793
PER,SLB,0.0019
BOL,GIN,0.000695
CAN,WSM,0.000771
BHS,MUS,0.00056
SLB,DMA,0.000396
COL,CZE,0.001663
MHL,ISL,0.001656
IND,USA,0.001906
ARG,ROU,0.00104
USA,SLB,0.001481
AUS,SVK,0.001546
TZA,THA,0.000923
NZL,COD,0.000183
ZWE,JPN,0.000336
THA,KIR,0.001757
PER,NRU,0.001289
PAN,KHM,0.001822
PER,BEL,0.001949
UKR,GAB,0.000235
GUY,IDN,0.000204
DOM,NAM,0.000105
SMR,WSM,0.00166
CPV,TUV,0.001859
NPL,BDI,0.000315
IND,SDN,0.000851
MLI,MHL,0.000415
CYP,SLV,0.001451
DJI,ARE,0.001596
IRN,SVK,0.000328
PAN,BGD,0.000859
GBR,IRN,0.000297
LBY,PRK,0.000143
LSO,AZE,0.001931
TTO,LKA,0.001425
DZA,SLB,0.001252
BHR,WSM,0.001583
HRV,ZAF,0.000764
WSM,HUN,0.000771
GIN,KIR,0.001742
WSM,SWE,0.001342
TUV,URY,0.001988
SLB,GRD,0.001344
IRN,ECU,0.00023
SYR,DEU,0.001418
PAK,WSM,0.001132
MDG,PER,0.000901
MLT,LBN,0.00097
TTO,LTU,0.001243
NPL,MLT,0.001329
BEN,BRN,0.001375
AGO,ARM,0.000507
VUT,KEN,0.00157
VUT,DOM,0.000321
TWN,LVA,0.000278
AUS,ALB,0.000751
VCT,LAO,0.001277
SWZ,NRU,0.00147
HND,SWZ,0.000588
SOM,HND,0.001143
LBR,KIR,0.000783
CHE,WSM,0.000755
YEM,SLB,0.001185
GAB,CAN,0.000439
ZMB,PNG,0.001316
VNM,BRB,0.001132
KGZ,DEU,0.000814
ZAF,NIC,0.000836
MWI,MHL,0.001442
MAR,NRU,0.001648
GIN,RUS,0.00196
GHA,VUT,0.000489
CPV,ECU,0.000297
MHL,GRC,0.001236
KOR,ISL,0.000768
CMR,GRC,0.000338
PAK,FRA,0.000112
MOZ,LCA,0.001762
IND,NAM,0.000183
HUN,ZAF,0.000196
AUS,PAN,0.001705
GAB,SUR,0.00189
ARG,FRA,0.001999
FSM,CHN,0.001489
TKM,TON,0.00076
LTU,JAM,0.001692
SUR,PRK,0.0001
DEU,MYS,0.00071
CHN,HTI,0.000136
GNB,MHL,0.000236
CHL,MNE,0.001728
CZE,WSM,0.000538
BGR,PRY,0.001965
FJI,DZA,0.000916
TKM,PNG,0.001559
CYP,FJI,0.000592
NPL,CZE,0.000765
GTM,GHA,0.000201
